Time,El_grid,PV_feed,PV_self,E_hp,H_hp,E_boiler,H_boiler
110,8.0189545,0.0,1.5202261,6.6591807,19.977542,0.0,0.0
111,9.230247,0.0,0.68315162,6.5933987,19.780196,0.0,0.0
112,9.6873975,0.0,0.44799164,6.4453892,19.336168,0.0,0.0
113,10.534698,0.0,0.11069147,6.4453892,19.336168,0.0,0.0
114,11.886716,0.0,0.0,6.3467162,19.040149,0.0,0.0
115,10.878944,0.0,0.0,6.4289437,19.286831,0.0,0.0
116,9.7824982,0.0,0.0,6.4124982,19.237495,0.0,0.0
117,9.5247257,0.0,0.0,6.4947257,19.484177,0.0,0.0
118,8.8640622,0.0,0.0,6.5440622,19.632187,0.0,0.0
119,9.0791807,0.0,0.0,6.6591807,19.977542,0.0,0.0
120,8.4547257,0.0,0.0,6.4947257,19.484177,0.0,0.0
121,7.5438252,0.0,0.0,6.3138252,18.941476,0.0,0.0
122,6.7926876,0.0,0.0,5.9026876,17.708063,0.0,0.0
123,6.1631141,0.0,0.0,5.6231141,16.869342,0.0,0.0
124,6.3446781,0.0,0.0,5.7546781,17.264034,0.0,0.0
125,6.5484696,0.0,0.0,5.9684696,17.905409,0.0,0.0
126,6.3140146,0.0,0.0,5.8040146,17.412044,0.0,0.0
127,6.5353416,0.0,0.0,5.7053416,17.116025,0.0,0.0
128,7.5197966,0.0,0.0,5.8697966,17.60939,0.0,0.0
129,8.3982049,0.0,0.031354664,5.6395596,16.918679,0.0,0.0
130,10.404326,0.0,0.30547044,5.8697966,17.60939,0.0,0.0
131,10.146001,0.0,0.73445925,5.8204601,17.46138,0.0,0.0
132,8.8462764,0.0,1.1539467,5.590223,16.770669,0.0,0.0
133,7.6620046,0.0,1.7506354,5.16264,15.48792,0.0,0.0
134,5.3229096,0.0,3.1150384,4.7679479,14.303844,0.0,0.0
135,7.1123561,0.0,1.1482458,4.5706019,13.711806,0.0,0.0
136,7.8902649,0.0,0.47744602,4.5377109,13.613133,0.0,0.0
137,8.587747,0.0,0.12351837,4.5212654,13.563796,0.0,0.0
138,9.8315024,0.0,0.0,4.7515024,14.254507,0.0,0.0
139,8.3797014,0.0,0.0,4.3897014,13.169104,0.0,0.0
140,7.6969998,0.0,0.0,3.8469998,11.541,0.0,0.0
141,7.6483268,0.0,0.0,3.7483268,11.244981,0.0,0.0
142,7.2854358,0.0,0.0,3.7154358,11.146308,0.0,0.0
143,6.2260993,0.0,0.0,3.6660993,10.998298,0.0,0.0
144,6.1163363,0.0,0.0,3.8963363,11.689009,0.0,0.0
145,6.0792749,0.0,0.0,4.6692749,14.007825,0.0,0.0
146,5.1119289,0.0,0.0,4.4719289,13.415787,0.0,0.0
147,4.9525924,0.0,0.0,4.4225924,13.267777,0.0,0.0
148,5.1428294,0.0,0.0,4.6528294,13.958488,0.0,0.0
149,5.1450569,0.0,0.0,4.7350569,14.205171,0.0,0.0
